GEO_NAME,income,Shelter-cost-to-income-ratio,tenure,fraction
Gander,"Under $10,000",Spending 30% or more of income on shelter costs,55,0.785714286
Gander,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,325,0.792682927
Gander,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,290,0.623655914
Gander,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,140,0.288659794
Gander,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,65,0.164556962
Gander,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,75,0.144230769
Gander,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,25,0.06097561
Gander,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,10,0.034482759
Gander,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.027027027
Gander,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.034482759
Gander,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.005434783
Corner Brook,"Under $10,000",Spending 30% or more of income on shelter costs,285,0.876923077
Corner Brook,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,580,0.640883978
Corner Brook,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,680,0.483985765
Corner Brook,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,455,0.298360656
Corner Brook,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,235,0.207964602
Corner Brook,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,120,0.111111111
Corner Brook,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,40,0.041450777
Corner Brook,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,30,0.039215686
Corner Brook,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,20,0.02247191
Corner Brook,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.014388489
Corner Brook,"$100,000 and over",Spending 30% or more of income on shelter costs,35,0.008894536
Charlottetown,"Under $10,000",Spending 30% or more of income on shelter costs,865,0.869346734
Charlottetown,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1735,0.747844828
Charlottetown,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1470,0.598778004
Charlottetown,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1195,0.412780656
Charlottetown,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,610,0.235976789
Charlottetown,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,210,0.085889571
Charlottetown,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,125,0.056179775
Charlottetown,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,45,0.021176471
Charlottetown,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,45,0.024930748
Charlottetown,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.006779661
Charlottetown,"$100,000 and over",Spending 30% or more of income on shelter costs,30,0.003931848
Summerside,"Under $10,000",Spending 30% or more of income on shelter costs,145,0.878787879
Summerside,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,540,0.715231788
Summerside,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,385,0.475308642
Summerside,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,285,0.318435754
Summerside,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,95,0.124183007
Summerside,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,55,0.078571429
Summerside,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,30,0.051282051
Summerside,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,10,0.021052632
Summerside,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Summerside,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Summerside,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.007633588
Halifax,"Under $10,000",Spending 30% or more of income on shelter costs,5895,0.897943641
Halifax,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,10010,0.865542585
Halifax,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,9685,0.729292169
Halifax,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,6940,0.463903743
Halifax,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,4245,0.294689344
Halifax,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,2975,0.212424134
Halifax,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,1515,0.119526627
Halifax,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,815,0.068229385
Halifax,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,465,0.041610738
Halifax,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,195,0.020365535
Halifax,"$100,000 and over",Spending 30% or more of income on shelter costs,470,0.008817184
Kentville,"Under $10,000",Spending 30% or more of income on shelter costs,280,0.903225806
Kentville,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,790,0.802030457
Kentville,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,760,0.584615385
Kentville,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,350,0.274509804
Kentville,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,205,0.175965665
Kentville,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,95,0.086363636
Kentville,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,30,0.034682081
Kentville,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,10,0.011560694
Kentville,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.015037594
Kentville,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Kentville,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.006437768
Truro,"Under $10,000",Spending 30% or more of income on shelter costs,580,0.816901408
Truro,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1415,0.733160622
Truro,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1085,0.516666667
Truro,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,570,0.250549451
Truro,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,245,0.11722488
Truro,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,95,0.059748428
Truro,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,55,0.032448378
Truro,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.014234875
Truro,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.008474576
Truro,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.010526316
Truro,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.00239521
New Glasgow,"Under $10,000",Spending 30% or more of income on shelter costs,345,0.811764706
New Glasgow,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1045,0.696666667
New Glasgow,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,700,0.433436533
New Glasgow,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,455,0.263768116
New Glasgow,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,200,0.129449838
New Glasgow,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,100,0.079681275
New Glasgow,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,55,0.04954955
New Glasgow,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.018691589
New Glasgow,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,15,0.017647059
New Glasgow,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
New Glasgow,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.00462963
Cape Breton,"Under $10,000",Spending 30% or more of income on shelter costs,1345,0.736986301
Cape Breton,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2930,0.65990991
Cape Breton,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,2245,0.435077519
Cape Breton,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1175,0.239795918
Cape Breton,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,560,0.135757576
Cape Breton,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,230,0.06284153
Cape Breton,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,60,0.019639935
Cape Breton,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,60,0.023121387
Cape Breton,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,15,0.006550218
Cape Breton,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.005464481
Cape Breton,"$100,000 and over",Spending 30% or more of income on shelter costs,30,0.003257329
Moncton,"Under $10,000",Spending 30% or more of income on shelter costs,1580,0.745283019
Moncton,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,3030,0.772959184
Moncton,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,3600,0.628820961
Moncton,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,2195,0.3512
Moncton,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,970,0.160330579
Moncton,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,510,0.096499527
Moncton,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,265,0.053643725
Moncton,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,110,0.024229075
Moncton,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,75,0.01863354
Moncton,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,40,0.012345679
Moncton,"$100,000 and over",Spending 30% or more of income on shelter costs,60,0.003828973
Saint John,"Under $10,000",Spending 30% or more of income on shelter costs,1630,0.768867925
Saint John,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,2740,0.727755644
Saint John,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,2485,0.501008065
Saint John,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1355,0.263106796
Saint John,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,760,0.162566845
Saint John,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,450,0.10727056
Saint John,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,220,0.058510638
Saint John,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,120,0.034285714
Saint John,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,45,0.014754098
Saint John,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,25,0.009124088
Saint John,"$100,000 and over",Spending 30% or more of income on shelter costs,75,0.005018401
Fredericton,"Under $10,000",Spending 30% or more of income on shelter costs,1200,0.729483283
Fredericton,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1830,0.701149425
Fredericton,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,2045,0.576056338
Fredericton,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1320,0.33460076
Fredericton,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,755,0.196103896
Fredericton,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,350,0.0997151
Fredericton,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,200,0.059435364
Fredericton,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,75,0.024875622
Fredericton,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,25,0.009345794
Fredericton,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,20,0.008350731
Fredericton,"$100,000 and over",Spending 30% or more of income on shelter costs,35,0.002868852
Bathurst,"Under $10,000",Spending 30% or more of income on shelter costs,540,0.771428571
Bathurst,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,700,0.546875
Bathurst,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,550,0.361842105
Bathurst,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,275,0.162241888
Bathurst,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,90,0.066914498
Bathurst,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,35,0.029411765
Bathurst,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,25,0.024390244
Bathurst,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,30,0.034285714
Bathurst,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.012903226
Bathurst,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Bathurst,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.005119454
Miramichi,"Under $10,000",Spending 30% or more of income on shelter costs,260,0.684210526
Miramichi,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,600,0.571428571
Miramichi,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,410,0.321568627
Miramichi,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,250,0.200803213
Miramichi,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,100,0.087336245
Miramichi,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,35,0.031674208
Miramichi,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,15,0.017857143
Miramichi,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,10,0.010752688
Miramichi,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Miramichi,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,15,0.023622047
Miramichi,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.003802281
Campbellton,"Under $10,000",Spending 30% or more of income on shelter costs,305,0.677777778
Campbellton,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,430,0.527607362
Campbellton,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,250,0.27173913
Campbellton,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,75,0.083798883
Campbellton,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,50,0.072463768
Campbellton,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,10,0.017094017
Campbellton,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,10,0.02247191
Campbellton,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Campbellton,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Campbellton,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Campbellton,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.008733624
Campbellton (New Brunswick part),"Under $10,000",Spending 30% or more of income on shelter costs,270,0.830769231
Campbellton (New Brunswick part),"$10,000 to $19,999",Spending 30% or more of income on shelter costs,375,0.63559322
Campbellton (New Brunswick part),"$20,000 to $29,999",Spending 30% or more of income on shelter costs,240,0.326530612
Campbellton (New Brunswick part),"$30,000 to $39,999",Spending 30% or more of income on shelter costs,65,0.088435374
Campbellton (New Brunswick part),"$40,000 to $49,999",Spending 30% or more of income on shelter costs,40,0.070175439
Campbellton (New Brunswick part),"$50,000 to $59,999",Spending 30% or more of income on shelter costs,10,0.01980198
Campbellton (New Brunswick part),"$60,000 to $69,999",Spending 30% or more of income on shelter costs,0,0
Campbellton (New Brunswick part),"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Campbellton (New Brunswick part),"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Campbellton (New Brunswick part),"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Campbellton (New Brunswick part),"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Campbellton (Quebec part),"Under $10,000",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$10,000 to $19,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$20,000 to $29,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$30,000 to $39,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$40,000 to $49,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$50,000 to $59,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$60,000 to $69,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$70,000 to $79,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$80,000 to $89,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$90,000 to $99,999",Spending 30% or more of income on shelter costs,,0
Campbellton (Quebec part),"$100,000 and over",Spending 30% or more of income on shelter costs,,0
Edmundston,"Under $10,000",Spending 30% or more of income on shelter costs,345,0.793103448
Edmundston,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,585,0.619047619
Edmundston,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,500,0.393700787
Edmundston,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,230,0.169117647
Edmundston,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,135,0.134328358
Edmundston,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,45,0.050561798
Edmundston,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,25,0.032051282
Edmundston,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,20,0.027210884
Edmundston,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.016528926
Edmundston,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Edmundston,"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Matane,"Under $10,000",Spending 30% or more of income on shelter costs,190,0.844444444
Matane,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,570,0.578680203
Matane,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,335,0.303167421
Matane,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,160,0.144144144
Matane,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,70,0.069651741
Matane,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,30,0.042253521
Matane,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,10,0.016666667
Matane,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Matane,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Matane,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Matane,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.007272727
Rimouski,"Under $10,000",Spending 30% or more of income on shelter costs,545,0.893442623
Rimouski,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,1550,0.658174098
Rimouski,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,1125,0.449101796
Rimouski,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,485,0.166666667
Rimouski,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,380,0.141791045
Rimouski,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,155,0.068888889
Rimouski,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,90,0.046753247
Rimouski,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.014164306
Rimouski,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,30,0.017391304
Rimouski,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.008403361
Rimouski,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.001806685
Rivière-du-Loup,"Under $10,000",Spending 30% or more of income on shelter costs,155,0.939393939
Rivière-du-Loup,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,795,0.659751037
Rivière-du-Loup,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,515,0.393129771
Rivière-du-Loup,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,250,0.149253731
Rivière-du-Loup,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,125,0.102459016
Rivière-du-Loup,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,55,0.045081967
Rivière-du-Loup,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,50,0.051813472
Rivière-du-Loup,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,30,0.030150754
Rivière-du-Loup,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.012269939
Rivière-du-Loup,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.015748031
Rivière-du-Loup,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.003696858
Baie-Comeau,"Under $10,000",Spending 30% or more of income on shelter costs,145,0.828571429
Baie-Comeau,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,540,0.627906977
Baie-Comeau,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,365,0.359605911
Baie-Comeau,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,190,0.151394422
Baie-Comeau,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,115,0.093117409
Baie-Comeau,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,55,0.055276382
Baie-Comeau,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,35,0.040229885
Baie-Comeau,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,30,0.033519553
Baie-Comeau,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Baie-Comeau,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Baie-Comeau,"$100,000 and over",Spending 30% or more of income on shelter costs,10,0.002747253
Saguenay,"Under $10,000",Spending 30% or more of income on shelter costs,1455,0.895384615
Saguenay,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,4550,0.661337209
Saguenay,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,2630,0.390207715
Saguenay,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,1570,0.206714944
Saguenay,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,1045,0.142564802
Saguenay,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,400,0.061208875
Saguenay,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,310,0.050612245
Saguenay,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,115,0.023493361
Saguenay,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,65,0.015384615
Saguenay,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,30,0.007731959
Saguenay,"$100,000 and over",Spending 30% or more of income on shelter costs,40,0.002401681
Alma,"Under $10,000",Spending 30% or more of income on shelter costs,225,0.865384615
Alma,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,930,0.645833333
Alma,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,520,0.354948805
Alma,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,250,0.165016502
Alma,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,185,0.122112211
Alma,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,70,0.047619048
Alma,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,40,0.03652968
Alma,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.02617801
Alma,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.011235955
Alma,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,10,0.014814815
Alma,"$100,000 and over",Spending 30% or more of income on shelter costs,20,0.006289308
Dolbeau-Mistassini,"Under $10,000",Spending 30% or more of income on shelter costs,110,0.75862069
Dolbeau-Mistassini,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,455,0.558282209
Dolbeau-Mistassini,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,170,0.25
Dolbeau-Mistassini,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,110,0.123595506
Dolbeau-Mistassini,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,55,0.081481481
Dolbeau-Mistassini,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,25,0.03649635
Dolbeau-Mistassini,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,10,0.017857143
Dolbeau-Mistassini,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,0,0
Dolbeau-Mistassini,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,0,0
Dolbeau-Mistassini,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Dolbeau-Mistassini,"$100,000 and over",Spending 30% or more of income on shelter costs,0,0
Sept-ëles,"Under $10,000",Spending 30% or more of income on shelter costs,170,0.53968254
Sept-ëles,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,550,0.578947368
Sept-ëles,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,410,0.416243655
Sept-ëles,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,170,0.149779736
Sept-ëles,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,95,0.089622642
Sept-ëles,"$50,000 to $59,999",Spending 30% or more of income on shelter costs,45,0.044117647
Sept-ëles,"$60,000 to $69,999",Spending 30% or more of income on shelter costs,40,0.044692737
Sept-ëles,"$70,000 to $79,999",Spending 30% or more of income on shelter costs,25,0.034722222
Sept-ëles,"$80,000 to $89,999",Spending 30% or more of income on shelter costs,10,0.015151515
Sept-ëles,"$90,000 to $99,999",Spending 30% or more of income on shelter costs,0,0
Sept-ëles,"$100,000 and over",Spending 30% or more of income on shelter costs,15,0.003807107
Sainte-Marie,"Under $10,000",Spending 30% or more of income on shelter costs,40,0.888888889
Sainte-Marie,"$10,000 to $19,999",Spending 30% or more of income on shelter costs,220,0.6875
Sainte-Marie,"$20,000 to $29,999",Spending 30% or more of income on shelter costs,250,0.438596491
Sainte-Marie,"$30,000 to $39,999",Spending 30% or more of income on shelter costs,75,0.129310345
Sainte-Marie,"$40,000 to $49,999",Spending 30% or more of income on shelter costs,55,0.102803738
